Date,Departure station,Arrival station,Route,Cancellation comments,Departure delay comments,Arrival delay comments
2019-03,LILLE,MARSEILLE ST CHARLES,LILLE → MARSEILLE ST CHARLES,,,"Causes Matériel en baisse, avec la rubrique  soin engin en dominante (défaillance CAB, incident Panto, Bloc moteur) pour 22 TGV concernés, le mardi 19, 8 trains de l’Axe Nord ont été touchés pour 250 minutes perdues, en conséquence  d’une détection incendie sur TGV 6638 au Creusot (45 TGV Voyages pour 1340 minutes perdues).
Dans le domaine des dérangements l’item « installations » est le plus marquant, on retrouve en évènement marquant le défaut de géométrie de voie de TGV HP (fontis) le vendredi 01 et samedi 02 ( 15 TGV IS touchés  et représentant 50% en nb de TGV/mois sur l’ item précité). Pour le reste il s’agit de dérangements de zones, d’aiguilles, signal, etc.).
En ce qui concerne la rubrique Externe, un fait marquant le lundi 04 mars avec un arbre tombé dan la voie vers Vaumort (53 trains Voyages pour 3061 minutes perdues)-
Pour la rubrique des travaux et représentant le quart de l’irrégularité Réseau, on retrouve depuis février des LTV 170 et 120 entre Hattencourt et Combles pour quelques trains/jour (2 ou 3), ce en rapport direct avec les travaux de nuit sur LN3, avec normalement des pertes de temps qui sont compensées par la modification des sillons (minutes V)."
2019-07,LILLE,MARSEILLE ST CHARLES,LILLE → MARSEILLE ST CHARLES,,,"Hausse de l’irrégularité côté « Réseau externe », soit 5,81 points avec les conséquences des incendies de Marseille le 13 et Vianges le 17 ( 7tgv retardés), avec le jet de projectile à Moussy le 15 sur le tgv 7130 (3 tgv) et suite au heurt de chevreuil le 26 à Fresnoy (3 Tgv retardés)-
Ensuite le secteur des travaux est marquant avec des LTV : LTV 120  V1-V2 avec les travaux de  Avignon/Senas ou Bonpas, des IO au quotidien du 05 au 30 juillet, 20 Tgv concernés pour des retards de 5 à 10 min environ,  LTV de Sathonay (TIV 40-V1 et V2) avec 35 tgv retardés pour des retards de 5 à 10 min, ce du 01 au 29 juillet (travaux Pôle échange Multimodal), et suite au passage de la rame IRIS sur LN3 une LTV 170 mise en place le lundi 29 et mardi 30 avec 5 tgv concernés pour des retards de 5 à 10 minutes.
En ce qui concerne les causes « Voyages hors Matériel », le secteur des Gares est dominant en cette période faste de vacances , les causes Escale Service Voyageur ou Produit train dominent, on retrouve les correspondances, les montées de groupes, l’affluence surtout et les interventions Police ou pompiers. Pour le reste il s’agit pour un point du domaine Externe avec les bagages abandonnés, et un point aussi pour les attentes Personnel (Asct, Crml ou Adc) sans récurrence dans les faits."
2018-03,LILLE,PARIS NORD,LILLE → PARIS NORD,,,"En ce qui concerne Réseau, le défaut de géométrie de la voie constaté à Pierrefitte a perturbé fortement le plan de transport à partir du 23 mars, un défaut suite à une zone boueuse découverte, avec des retards de cinq minutes au maximum  pour un volet de deux à vingt-cinq trains par jour, une situation qui perdure aujourd’hui. Pour les autres dérangements, il s’agit de l’incident de Beuvraignes le 19 (zone au rouge), l’arrachement caténaire de Goussainville le 10, et le dérangement électrique de Roissy le 15 avec un nid de pies dans la caténaire (26 trains pour 1096 minutes). 
Le train 758101 du 26 mars à Pierrefitte arrêté sous la section de séparation(zone non alimentée en courant) est l’évènement marquant du secteur « Autres EF » et du mois , il a concerné 48 trains Voyages pour 3854 minutes perdues, et  en totalité  213 trains pour 11187 minutes. Le sectionneur incriminé a été réparé depuis…"
2018-07,LILLE,PARIS NORD,LILLE → PARIS NORD,,,"le domaine « extérieur infra » pour l’irrégularité a atteint un sommet avec quasiment 7 points, on relève deux accidents de personne en début de mois : d’une part sur le secteur Nord à Hattencourt (mercredi 04) et le secteur Sud est à Lyon Part Dieu (jeudi 05) d’autre part. Pour l’évènement d’Hattencourt avec l’Eurostar 9031, la circulation normale des trains a repris après 05h30 d’interruption totale. Pour ce même domaine côté infra il s’agit de multiples causes d’incendies ou orages violents dans le Sud Est.
Les causes dérangements sont aussi nombreuses (4,7%) , avec en évènements marquants les défauts de géométrie de voie (passage rame contrôle IRIS) et surtout les dérangements d’installations de signalisation (zones, aiguilles, etc.).
Le Matériel prend une part importante pour l’irrégularité avec 5,2 points. Plusieurs fois le motif « tension parc » a été relevé avec des retards plus ou moins importants, voire des suppressions de trains. Les chantiers du Landy et Forest ont peiné à servir le plan de transport journalier. Les « soins engins » représentent la dominante des causes : application guide de dépannage avec ou sans  l’appui du PAC (Pôle d’appui conduite), incidents du frein, insuffisance traction, disjoncteurs défaillants, incidents portes, climatisations hs, détections alarmes incendie,… 
s
Dérangement infra et PN en RO : 10 tgv concernés
Défaillance €* à Fresnoy : 27 tgv concernés
Accident personne à Lyon Part Dieu :  10 tgv concernés
Dérangement zone à Pierrefitte : 31 tgv concernés avec 7550 et 7049 via Roissy."
2018-08,LILLE,PARIS NORD,LILLE → PARIS NORD,,,"le matériel avec 4,7% d’irrégularité devance la rubrique des dérangements côté Réseau pour 2,5%, tout juste devant les autres EF avec 2,4% exactement.
« soin engin » pour 2,2% points (incidents bogies, radio, frein ,etc.), le motif « produit train » ou mises à quai tardives pour 1,7 % point, phénomène directement lié à la tension du parc, et enfin les « autres incidents » pour 0,8% point (incident veille automatique en ligne par exemple).
Pour le Matériel, le vendredi 31 août est une journée significative car une quinzaine de trains de la radiale et antenne ont été concernés, soit par des pannes ou des mises à disposition tardives en gare.
En ce qui concerne Réseau avec les dérangements, on peut relever l’incident « manque tension » de Combles le vendredi 24 (5 Tgv concernés pour 54 minutes), car la cause est toujours analysée aujourd’hui côté INE, aussi l’incident à Arras le mardi 28 avec une éclisse et JIC (joint isolant collé) fissurés, incident qui a concerné 6 Tgv pour 63 minutes perdues à l’entrée de la LGV (passage en voie banalisée pour certains trains et retards à la clé).
Le domaine de l’irrégularité pour les autres transporteurs concerne en particulier TER, avec notamment l’évènement secours pour le 843705 du vendredi 17 août à Roeux qui a concerné 11 tgv pour 175 minutes perdues"
2018-01,LYON PART DIEU,LILLE,LYON PART DIEU → LILLE,,,"Deux accidents de personne  se sont produits sur le secteur Nord, l’un à Fresnoy avec un train Eurostar le 16, et l’autre près de Lille Europe le 25 avec un train Ouigo. 
Aussi en matière de causes retards, le domaine « Externe réseau » est bien le plus marquant avec quasiment cinq points, représentant le tiers de l’irrégularité totale. Et pour les résultZts composite et cinq minutes du mois, cela correspond à une baisse d’au moins deux points.
La cause des dérangements se place en seconde position mais avec un taux bien limité, exemple de l’Incident JIC* de Pierrefitte le 10 qui a concerné 14 TGV."
2018-02,LYON PART DIEU,LILLE,LYON PART DIEU → LILLE,,,"Intempéries exceptionnelles vécues lors de la deuxième semaine, et d’autre part suite à la forte tension du parc Matériel qui perdure.En effet, les mauvaises conditions climatiques survenues tôt dans le mois  ont occasionné une situation de blocage, avec de multiples dérangements d’installations de sécurité. En ce qui concerne Réseau, il s’agit d’une répartition entre les dérangements d’installations de sécurité(rails cassés, incidents passages à niveau, incidents caténaires, le domaine Externe (heurts d’animaux) et les travaux (limitation de vitesse et espacements suite travaux de régénération)."
2018-07,LYON PART DIEU,LILLE,LYON PART DIEU → LILLE,,,"le domaine « extérieur infra » pour l’irrégularité a atteint un sommet avec quasiment 7 points, on relève deux accidents de personne en début de mois : d’une part sur le secteur Nord à Hattencourt (mercredi 04) et le secteur Sud est à Lyon Part Dieu (jeudi 05) d’autre part. Pour l’évènement d’Hattencourt avec l’Eurostar 9031, la circulation normale des trains a repris après 05h30 d’interruption totale. Pour ce même domaine côté infra il s’agit de multiples causes d’incendies ou orages violents dans le Sud Est.
Les causes dérangements sont aussi nombreuses (4,7%) , avec en évènements marquants les défauts de géométrie de voie (passage rame contrôle IRIS) et surtout les dérangements d’installations de signalisation (zones, aiguilles, etc.).
Le Matériel prend une part importante pour l’irrégularité avec 5,2 points. Plusieurs fois le motif « tension parc » a été relevé avec des retards plus ou moins importants, voire des suppressions de trains. Les chantiers du Landy et Forest ont peiné à servir le plan de transport journalier. Les « soins engins » représentent la dominante des causes : application guide de dépannage avec ou sans  l’appui du PAC (Pôle d’appui conduite), incidents du frein, insuffisance traction, disjoncteurs défaillants, incidents portes, climatisations hs, détections alarmes incendie,…"
2018-08,LYON PART DIEU,LILLE,LYON PART DIEU → LILLE,,,"Pendant les deux premières semaines d’août, les fortes chaleurs ont continué de perturber le plan de transport, 

Les évènements liés au Matériel sont globalement divisés en trois parties: le motif « soin engin » pour 2,2% points (incidents bogies, radio, frein ,etc.), le motif « produit train » ou mises à quai tardives pour 1,7 % point, phénomène directement lié à la tension du parc, et enfin les « autres incidents » pour 0,8% point (incident veille automatique en ligne par exemple).
Pour le Matériel, le vendredi 31 août est une journée significative car une quinzaine de trains de la radiale et antenne ont été concernés, soit par des pannes ou des mises à disposition tardives en gare.
En ce qui concerne Réseau avec les dérangements, on peut relever l’incident « manque tension » de Combles le vendredi 24 (5 Tgv concernés pour 54 minutes), car la cause est toujours analysée aujourd’hui côté INE, aussi l’incident à Arras le mardi 28 avec une éclisse et JIC (joint isolant collé) fissurés, incident qui a concerné 6 Tgv pour 63 minutes perdues à l’entrée de la LGV (passage en voie banalisée pour certains trains et retards à la clé).
Le domaine de l’irrégularité pour les autres transporteurs concerne en particulier TER, avec notamment l’évènement secours pour le 843705 du vendredi 17 août à Roeux qui a concerné 11 tgv pour 175 minutes perdues."
2018-10,LYON PART DIEU,LILLE,LYON PART DIEU → LILLE,,,"l’incident caténaire de Fresnoy ce jeudi 11  en début d’après-midi a perturbé fortement le plan de transport, avec  un pendule qui casse et la  caténaire qui se détend sur  1500 mètres. Cet incident a concerné 57 TGV Voyages pour 2439 minutes perdues (147 trains et 3848 min au total), et un coût de 1,5 point  pour la régularité composite mensuelle.
L’autre évènement phare du mois s’est déroulé le dernier dimanche avec le heurt d’un sanglier par le TGV 7187 à Fresnoy, un incident très coûteux en régularité car il a touché 32 Tgv Voyages pour 2036 minutes perdues,  et en totalité 67 trains pour 3529 minutes. Le prix en matière de régularité composite pour ce heurt d’animal précité correspond aussi à 1,5 point."
2018-11,LYON PART DIEU,LILLE,LYON PART DIEU → LILLE,,,"le « Matériel » présente le taux le plus important (exemple : avec la panne du 6122 au Creusot), une irrégularité partagée entre le Produit train avec les mises à quai tardives et les incidents techniques.
La cause « extérieur infra » est très conséquente avec les heurts d’animaux précités, avec les accidents de personnes de Montanay le mardi 06 ou de Villiers le Bel le 30, aussi les personnes dans les voies à Paris le mardi 20 suite alerte radio, en cause pour ce dernier incident une erreur d’aiguillage avec une rame vide Ter envoyée à tort en gare souterraine (problème d’indexation d’itinéraires) .
 En troisième position, il s’agit des dérangements , avec le cas du rail cassé de Joncherolles, voire le rail cassé près de Douai."
2018-12,LYON PART DIEU,LILLE,LYON PART DIEU → LILLE,,,"Première cause d'irrégularité les ""Autres transporteurs""--En exemple la panne Eurostar 9023 le di 23  au sud de TGV HP de 12h à 20h : 49 TGV touchés dont 20 détournés ligne classique (TGV IS bien concernés aussi)"
2019-04,LYON PART DIEU,LILLE,LYON PART DIEU → LILLE,,,"la rubrique Externe en dominante , il s’agit d’évènements diffus, avec de la malveillance, des intrusions dans les emprises, des intempéries (vents violents), en exemple le 25 à Vénissieux avec un plastique dans les caténaires (26 TGV Voyages concernés pour 315 minutes perdues).
Causes « Escale-Service Voyageur » en hausse avec une dominante pour l’affluence voyageurs et les groupes, un phénomène aussi lié à cette période dégroupée de vacances  scolaires"
2019-06,LYON PART DIEU,LILLE,LYON PART DIEU → LILLE,,,"Irrégularité pour les causes  Autres transporteurs en hausse de 1,1 point, irrégularité en dominante pour les conséquences des circulations Ter, ensuite pour  Sncf Réseaurail avec 5 TGV concernés pour la panne du train BOA le mercredi 19 juin à TGV HP
Hausse pour la partie des dérangements( +1,8 point), essentiellement pour les installations de sécurité avec une petite part pour la rubrique « caténaire ». En fait saillant la LTV 170 puis 230 km/h les 26 et 27 juin entre Jablines et Messy suite au passage de la rame de contrôle IRIS (7 TGV concernés pour les 26 et 27 juin), pour le reste il s’agit d’incidents de zones, PN"
2018-07,LYON PART DIEU,MARNE LA VALLEE,LYON PART DIEU → MARNE LA VALLEE,,,"•alarme incendie sur l’Eurostar 9086, vers Le-Châtelet , 27 TGV retardés pour 725 min, 12 TGV de l’axe perdus à 5’."
2018-08,LYON PART DIEU,MARNE LA VALLEE,LYON PART DIEU → MARNE LA VALLEE,,,•bruit anormal sous caisse sur le OUIGO 7601 entre Marne La Vallée et Chevry-Cossigny : 26 TGV retardés pour 909 min.
2019-02,LYON PART DIEU,MARNE LA VALLEE,LYON PART DIEU → MARNE LA VALLEE,,,Accidents de personne
2018-03,LYON PART DIEU,MARSEILLE ST CHARLES,LYON PART DIEU → MARSEILLE ST CHARLES,,,Accident de personne voie 1bis en sortie de Paris-Gare-de-Lyon.
2018-07,LYON PART DIEU,MARSEILLE ST CHARLES,LYON PART DIEU → MARSEILLE ST CHARLES,,,"10:Incendie important aux abords de la gare de Earseille au PK 860 (St Barthélémy),"
2018-08,LYON PART DIEU,MARSEILLE ST CHARLES,LYON PART DIEU → MARSEILLE ST CHARLES,,,"•problème de traction du 9582 vers Aix-en-Provence. 25 TGV retardés pour 588 min, 9 TGV de l’axe perdus à 5’."
2019-01,LYON PART DIEU,MARSEILLE ST CHARLES,LYON PART DIEU → MARSEILLE ST CHARLES,,,Neiges et Inondation tunnel Marseille
2019-02,LYON PART DIEU,MARSEILLE ST CHARLES,LYON PART DIEU → MARSEILLE ST CHARLES,,,Accidents de personne
2018-07,LYON PART DIEU,MONTPELLIER,LYON PART DIEU → MONTPELLIER,,,"•heurt d’une personne par le TGV 6839 à Montpellier : 12 TGV retardés pour 1009 min, 8 TGV de l’axe perdus à 5’."
2019-02,LYON PART DIEU,PARIS LYON,LYON PART DIEU → PARIS LYON,,,Accidents de p1rsonne
2018-01,LYON PART DIEU,RENNES,LYON PART DIEU → RENNES,,,"Ce mois-ci, l'OD a été touchée par les incidents suivants :
Le 1er : Tempête Carmen sur la façade Atlantique  (52 TGV ; 1079mn)
Le 3 : Tempête Eleonor sur l’ouest de la France (35 TGV ; 407mn)
Le 5 : Dérangement d’une aiguille en gare de Massy TGV (57 TGV ; 1254mn)
Le 7 : Dérangement du poste d’aiguillage de Paris Montparnasse (70 TGV ; 1490mn)
Le 12 : Colis suspect en gare de Paris Montparnasse (32 TGV ; 499mn)
Le 12 : Incident caténaire en gare de Rennes (26 TGV ; 2188mn)
Le 17 : Dérangement du poste d’aiguillage de Paris Montparnasse (26 TGV ; 386mn)"
2018-03,LYON PART DIEU,RENNES,LYON PART DIEU → RENNES,,,"Ce mois-ci, l'OD a été touchée par les incidents suivants :
le 1er : une limitation de la vitesse des trains sur les lignes à grande vitesse Atlantique  (28 TGV pour un total de 605 minutes) et Sud-Est suite aux conditions climatiques (7 TGV pour 136 minutes) ;
le 6 : dérangement des installations sur la ligne à grande vitesse Atlantique (23 TGV pour un total de 461 minutes)
le 18 : un souterrain inondé au niveau de Chemin d'Antony - en région parisienne - impacte les installations (7 TGV pour 93' perdues) ;
le 20 : un accident de personne sur la ligne à grande vitesse Atlantique (47 TGV retardés pour 3028 minutes) ;
le 27 : un dérangement des installations à Massy - en région parisienne - (34 TGV retardés pour 736 minutes) ;
le 30 : heurt d'un animal par un train sur la ligne à grande vitesse Sud-Est (près de Lyon (25 TGV retardés pour 1132 minutes)."
2018-05,LYON PART DIEU,RENNES,LYON PART DIEU → RENNES,,,"Ce mois-ci, l'OD a été touchée par la grève (12 journées sur le mois) ainsi que  par les incidents suivants :
- le 1er : interruption des circulations à Rennes suite au signalement de personnes et d'objets sur les voies (8 TGV retardés pour un total de 182 minutes perdues)
- le 15 : défaillance Matériel d'un train sur la ligne à Grande Vitesse Atlantique - vers Marcoussis - (13 TGV retardés pour un total de 389 minutes perdues) 
- les 26 et 27 : absence de tension électrique entre Angers et Le Mans liée aux intempéries avec incendie d'un transformateur éléctrique à Sablé (49 TGV pour un total de 3658 minutes perdues) , certains trains ont emprunté un autre itinéraire via Rennes ou St Pierre-des-Corps pour éviter la zone d'incident."
2018-07,LYON PART DIEU,RENNES,LYON PART DIEU → RENNES,,,"Ce mois-ci, l'OD a été touchée par 2 journées de grève ainsi que  par les incidents suivants :
- le 5 : un accident de personne vers Lyon (10 TGV retardés pour 506 minutes perdues), 
- le 13 : un dérangement électrique vers Massy (33 TGV retardés pour 797 minutes perdues) et un client qui bloque les portes d'un TGV au départ de Paris-Montparnasse (10 TGV retardés pour 132 minutes perdues), 
- le 15 : un accident de personne aux Ardoines en Ile-de-France (20 TGV retardés pour 281 minutes perdues). 
- le 25 : une défaillance sur un aiguillage après le passage d'un engin travaux sur le chantier de renouvellement des appareils de voies de la ligne à grande vitesse Atlantique (33 TGV retardés pour un total de  663 minutes perdues),
- du 27 au 30 : suite à l'incendie d'un transformateur électrique à Issy-les-Moulineaux, le vendredi 27, l'accès à la gare de Paris-Montparnasse est restreint (322 TGV supprimés et 160 détournés par Paris Austerlitz)."
2018-08,LYON PART DIEU,RENNES,LYON PART DIEU → RENNES,,,"Ce mois-ci, l'OD a été touchée par les incidents suivants :
- le 2 : une restitution tardive de travaux sur la ligne à grande vitesse Atlantique (10 TGV retardés pour 108 minutes perdues), 
- le 3 : un choc anormal dans le tunnel de Massy (71 TGV retardés pour 2549 minutes perdues) et un dérangement d'installation à Monts (18 TGV retardés pour 181 minutes perdues), 
- le 7 : une personne dans les voies à Massy TGV (10 TGV retardés pour 234 minutes perdues). 
- le 17 : une déformation de la voie  à Chemin d'Anthony, près de Massy (45 TGV retardés pour 1014 minutes perdues),
- le 19 : une restitution tardive de travaux (renouvellement des appareils de voies) sur la ligne à grande vitesse Atlantique (22 TGV retardés pour 760 minutes perdues), 
- le 21 : un rail cassé à Pont de Rungis en Ile de France (10 TGV retardés pour 123 minutes perdues),
- le 31 : défaillance matériel d'un TGV sur la ligne à grande vitesse Atlantique (41 TGV retardés pour 621 minutes perdues)."
2019-02,LYON PART DIEU,RENNES,LYON PART DIEU → RENNES,,,"Ce mois-ci, cette destination a été touchée par : 
- le 12 : un dérangement d'installation sur la ligne à grande vitesse Bretagne-Pays de la Loire (15 TGV impactés pour 487 minutes perdues), 
- le 13 : un dérangement d'installation sur la ligne à grande vitesse Atlantique ( 26 TGV impactés pour 424 minutes perdues), 
- le 15 : une panne d'un TGV vers Massy TGV (20 TGV impactés pour 253 minutes perdues), 
- le 22 : une panne d'un TGV au niveau de Roissy (11 TGV impactés pour  189 minutes perdues), 
- le 23 : l'évacuation de la gare de Rennes pour une forte odeur de gaz (17 TGV impactés pour 934 minutes perdues),
- le 25 : le heurt d'un animal par un train OUIGO sur la ligne à grande vitesse Atlantique (16 TGV impactés pour 1069 minutes perdues)."
2019-05,LYON PART DIEU,RENNES,LYON PART DIEU → RENNES,,,"Ce mois ci, la destination a été marquée par les incidents suivants : 
- le 1 : une défaillance matériel en gare de Rennes (5 TGV impactés pour 132 minutes perdues), 
- le 8 : un accident de personne vers Hennebont (4 TGV impactés pour 419 minutes perdues), 
- le 9 : un dérangement d'installation entre Massy et Valenton (16 TGV impactés pour 1041 minutes perdues),
- le 10 : un bagage abandonné à Marne La Vallée (17 TGV impactés pour 154 minutes perdues), 
- le 12 : une personne allongée le long des voies près de Lyon (5 TGV impactés pour 300 minutes perdues), 
- le 14 : une défaillance matériel d'un TGV sur la Ligne à Grande Vitesse Atlantique (14 TGV impactés pour 285 minutes perdues),
- le 17 : un accident de personne entre Sully et Vianges qui perturbe la circulation des TGV province-province (9 TGV impactés pour 1255 minutes perdues),
- le 20 : un heurt de chevreuil sur la Ligne à Grande Vitesse Atlantique (17 TGV impactés pour 568 minutes perdues), 
- le 23 : une défaillance d'un détecteur de chute de véhicule sur la Ligne à Grande Vitesse Sud-Est (33 TGV impactés pour 1057 minutes perdues) et une restitution tardive de travaux sur la Ligne à Grande Vitesse Atlantique (34 TGV impactés pour 911 minutes perdues), 
- le 29 : deux bagages abandonnés dans un TGV à Montpellier (3 TGV impactés pour 339 minutes perdues)."
2019-07,LYON PART DIEU,RENNES,LYON PART DIEU → RENNES,,,"Ce mois ci, la destination a été marquée par les incidents suivants : 
- le 2 : le heurt d'un animal sur la ligne à grande vitesse Bretagne Pays de la Loire (9 TGV impactés pour 170 minutes perdues),
- le 3 : un bagage abandonné dans un TGV impose un arrêt exceptionnel à Massy TGV pour l'intervention des équipes de déminage (26 TGV impactés pour 256 minutes perdues),
- le 9 : une détection de chute de pierre déclenche les systèmes de protection aux abords des voies entre Angers et Nantes (12 TGV impactés pour 886 minutes perdues),
- le 15 : un heurt de chevreuil sur la ligne à grande vitesse Atlantiqe (25 TGV impactés pour 1009 minutes perdues),
- le 25 : un incendie aux abords des voies sur la ligne à grande vitesse Bretagne Pays de la Loire (42 TGV impactés pour 1203 minutes perdues),
- le 28 : un défaut technique sur la voie sur la ligne à grande vitesse Atlantique (45 TGV impactés pour 1217 minutes perdues)."
2018-02,MACON LOCHE,PARIS LYON,MACON LOCHE → PARIS LYON,,,Décontrôles d’aiguilles à Paris-Gare-de-Lyon dans la matinée.
2018-07,MACON LOCHE,PARIS LYON,MACON LOCHE → PARIS LYON,,,"•panne du OUIGO 7839, vers Le Creusot : 14 TGV retardés pour 240 min."
2018-08,MACON LOCHE,PARIS LYON,MACON LOCHE → PARIS LYON,,,"•affluence voyageur sur le 6937 en gare de Macon-Loché-TGV. 4 TGV retardés pour 153 min, 4 TGV de l’axe perdus à 5’."
2019-02,MACON LOCHE,PARIS LYON,MACON LOCHE → PARIS LYON,,,Accidents de personne
2018-01,MARNE LA VALLEE,LYON PART DIEU,MARNE LA VALLEE → LYON PART DIEU,,,"7808 du 10 + 39: Attente client à MSC du 6806
7819 du 6 +66: Dérangement d'installations (perte de commande PRS 25)
7819 du 8 +81: Détresse Matériel Roulant 
7819 du 28 +44: Soin Matériel Roulant au 7810"
2018-03,MARNE LA VALLEE,LYON PART DIEU,MARNE LA VALLEE → LYON PART DIEU,,,"La commande disjoncteur est HS sur le TGV 6104, à Solers."
2018-07,MARNE LA VALLEE,LYON PART DIEU,MARNE LA VALLEE → LYON PART DIEU,,,"•alarme incendie sur l’Eurostar 9086, vers Le-Châtelet , 27 TGV retardés pour 725 min, 12 TGV de l’axe perdus à 5’."
2019-01,MARNE LA VALLEE,LYON PART DIEU,MARNE LA VALLEE → LYON PART DIEU,,,Neiges
2019-02,MARNE LA VALLEE,LYON PART DIEU,MARNE LA VALLEE → LYON PART DIEU,,,Accidents de personne
2019-07,MARNE LA VALLEE,LYON PART DIEU,MARNE LA VALLEE → LYON PART DIEU,,,"Le 02 Juillet  ce sont  les conséquences des intempéries de fin de soirée de la veille en région AURA avec fermetures de ligne SAG Chambéry, SAG Moirans, Annecy Aix et Grenoble Chambéry qui impacte fortement notre régularité.   
Le 07 Juillet  cette journée est marquée par le décontrôle d’aiguille sur LN 1 vers Le Creusot TGV
Le 09 Juillet un dérangement de commutateur à Pasilly affecte 46 TGV .
Le 23 Juillet  c’est un incendie aux abord des voies vers Cavaillon et 2 décontroles d’aiguille à Pasilly suite à un défaut de graissage qui nous font chuter notre régularité"
2018-01,MARNE LA VALLEE,MARSEILLE ST CHARLES,MARNE LA VALLEE → MARSEILLE ST CHARLES,,,"7829 du 31 +81: collision de 7801
7827 du 20 +30: espacement suite incident porte 9736
7825 du 28 + 109: soin matériel roulant 7810"
2018-05,MARNE LA VALLEE,MARSEILLE ST CHARLES,MARNE LA VALLEE → MARSEILLE ST CHARLES,,,"Evacuation de la gare de Marseille-St-Charles, cause colis suMpect."
2018-07,MARNE LA VALLEE,MARSEILLE ST CHARLES,MARNE LA VALLEE → MARSEILLE ST CHARLES,,,"•alarme incendie sur l’Eurostar 9086, vers Le-Châtelet , 27 TGV retardés pour 725 min, 12 TGV de l’axe perdus à 5’."
2018-09,MARNE LA VALLEE,MARSEILLE ST CHARLES,MARNE LA VALLEE → MARSEILLE ST CHARLES,,,"Accident de personne à chevry, restitution tardive tx Heyrieux, déraillement bourreuse à Vénissieux, incendie sous station de manduel"
2018-10,MARNE LA VALLEE,MARSEILLE ST CHARLES,MARNE LA VALLEE → MARSEILLE ST CHARLES,,,"2 accidents de personne, 2 LTV impactantes Lapeyrouse et Venissieux, 3 incidents marériel important sur LN1, 3 dérangements (aiguillage et caténaire) sur LN1, une alerte vent violent à lapalud"
2019-01,MARNE LA VALLEE,MARSEILLE ST CHARLES,MARNE LA VALLEE → MARSEILLE ST CHARLES,,,Neiges
2019-02,MARNE LA VALLEE,MARSEILLE ST CHARLES,MARNE LA VALLEE → MARSEILLE ST CHARLES,,,Accidents de personne
2019-03,MARNE LA VALLEE,MARSEILLE ST CHARLES,MARNE LA VALLEE → MARSEILLE ST CHARLES,,,"Incendie motrice à cluny, colis suspect à Valence TGV, chute d'arbre vers Vaumort"
2019-05,MARNE LA VALLEE,MARSEILLE ST CHARLES,MARNE LA VALLEE → MARSEILLE ST CHARLES,,,"Heurt de personnes à Vianges, Heurt animal Cuy, heurt chevreuil Lacour d'arcenay, dérangement Yerres, disjonction cluny, Fort impact sur LN1 tronçon central"
2019-07,MARNE LA VALLEE,MARSEILLE ST CHARLES,MARNE LA VALLEE → MARSEILLE ST CHARLES,,,"Le 07 Juillet  cette journée est marquée par le décontrôle d’aiguille sur LN 1 vers Le Creusot TGV
Le 09 Juillet un dérangement de commutateur à Pasilly affecte 46 TGV .
Le 23 Juillet  c’est un incendie aux abord des voies vers Cavaillon et 2 décontroles d’aiguille à Pasilly suite à un défaut de graissage qui nous font chuter notre régularité"
2018-03,MARSEILLE ST CHARLES,LILLE,MARSEILLE ST CHARLES → LILLE,,,"En ce qui concerne Réseau, le défaut de géométrie de la voie constaté à Pierrefitte a perturbé fortement le plan de transport à partir du 23 mars, un défaut suite à une zone boueuse découverte, avec des retards de cinq minutes au maximum  pour un volet de deux à vingt-cinq trains par jour, une situation qui perdure aujourd’hui. Pour les autres dérangements, il s’agit de l’incident de Beuvraignes le 19 (zone au rouge), l’arrachement caténaire de Goussainville le 10, et le dérangement électrique de Roissy le 15 avec un nid de pies dans la caténaire (26 trains pour 1096 minutes). 
Le train 758101 du 26 mars à Pierrefitte arrêté sous la section de séparation(zone non alimentée en courant) est l’évènement marquant du secteur « Autres EF » et du mois , il a concerné 48 trains Voyages pour 3854 minutes perdues, et  en totalité  213 trains pour 11187 minutes. Le sectionneur incriminé a été réparé depuis…"
2018-11,MARSEILLE ST CHARLES,LILLE,MARSEILLE ST CHARLES → LILLE,,,"le « Matériel » présente le taux le plus important (exemple : avec la panne du 6122 au Creusot), une irrégularité partagée entre le Produit train avec les mises à quai tardives et les incidents techniques.
La cause « extérieur infra » est très conséquente avec les heurts d’animaux précités, avec les accidents de personnes de Montanay le mardi 06 ou de Villiers le Bel le 30, aussi les personnes dans les voies à Paris le mardi 20 suite alerte radio, en cause pour ce dernier incident une erreur d’aiguillage avec une rame vide Ter envoyée à tort en gare souterraine (problème d’indexation d’itinéraires) .
 En troisième position, il s’agit des dérangements , avec le cas du rail cassé de Joncherolles, voire le rail cassé près de Douai."
2018-12,MARSEILLE ST CHARLES,LILLE,MARSEILLE ST CHARLES → LILLE,,,"Première cause d'irrégularité les ""Autres transporteurs""--En exemple la panne Eurostar 9023 le di 23  au sud de TGV HP de 12h à 20h : 49 TGV touchés dont 20 détournés ligne classique (TGV IS bien concernés aussi)"
